id,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price
80,6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished,6629000
826,4500,2,1,1,yes,no,no,no,yes,2,no,furnished,4270000
216,6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished,4830000
349,4820,3,1,2,yes,no,no,no,no,0,no,semi-furnished,3780000
90,5000,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,6440000
375,5960,3,1,2,yes,yes,yes,no,no,0,no,unfurnished,3640000
945,3512,2,1,1,yes,no,no,no,no,1,yes,unfurnished,3500000
407,2145,3,1,3,yes,no,no,no,no,0,yes,furnished,3465000
994,1650,3,1,2,no,no,yes,no,no,0,no,unfurnished,3150000
667,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished,5950000
506,2910,2,1,1,no,no,no,no,no,0,no,unfurnished,2604000
174,3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished,5250000
697,5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished,5565000
795,3510,3,1,3,yes,no,no,no,no,0,no,semi-furnished,4515000
641,9000,3,1,1,yes,no,yes,no,no,1,yes,furnished,6300000
841,4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished,4200000
870,3460,4,1,2,yes,no,no,no,yes,0,no,semi-furnished,4007500
967,3720,2,1,1,no,no,no,no,yes,0,no,unfurnished,3360000
263,3968,3,1,2,no,no,no,no,no,0,no,semi-furnished,4410000
601,11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished,7343000
934,4600,4,1,2,yes,no,no,no,no,0,no,semi-furnished,3500000
883,3780,2,1,2,yes,yes,yes,no,no,0,no,semi-furnished,3885000
91,6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished,6419000
129,11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished,5873000
300,4079,3,1,3,yes,no,no,no,no,0,no,semi-furnished,4200000
95,4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished,6300000
120,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished,5950000
1077,3000,2,1,1,no,no,no,no,no,0,no,unfurnished,2135000
460,8100,2,1,1,yes,no,no,no,no,1,no,unfurnished,3087000
758,4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished,4893000
896,3600,2,1,1,yes,no,no,no,no,0,no,semi-furnished,3780000
318,4340,3,1,1,yes,no,no,no,no,0,no,semi-furnished,4060000
52,6000,4,2,4,yes,yes,no,no,yes,1,no,furnished,7350000
316,5900,4,2,2,no,no,yes,no,no,1,no,unfurnished,4060000
179,3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished,5215000
683,5000,3,1,3,yes,no,no,no,yes,0,no,semi-furnished,5740000
635,5000,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,6440000
112,4300,6,2,2,yes,no,no,no,no,0,no,furnished,6083000
631,6670,3,1,3,yes,no,yes,no,no,0,yes,unfurnished,6510000
258,4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished,4480000
1088,2910,3,1,1,no,no,no,no,no,0,no,furnished,1750000
107,6420,3,1,3,yes,no,yes,no,no,0,yes,unfurnished,6125000
440,3640,4,1,2,yes,no,yes,no,no,0,no,unfurnished,3234000
712,4600,2,2,1,yes,no,no,no,yes,2,no,semi-furnished,5285000
475,3000,2,1,2,yes,no,no,no,no,0,no,semi-furnished,2961000
141,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished,5652500
5,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished,10850000
14,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished,9240000
892,3350,3,1,2,yes,no,no,no,no,0,no,unfurnished,3836000
296,4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished,4200000
931,3850,3,1,1,yes,no,no,no,no,2,no,unfurnished,3535000
193,4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished,5033000
268,4950,4,1,2,yes,no,no,no,yes,0,no,semi-furnished,4382000
770,6440,2,1,1,yes,no,no,no,yes,3,no,semi-furnished,4753000
855,5985,3,1,1,yes,no,yes,no,no,0,no,semi-furnished,4130000
429,4775,4,1,2,yes,no,no,no,no,0,no,unfurnished,3325000
745,4520,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished,4900000
820,4032,2,1,1,yes,no,yes,no,no,0,no,furnished,4319000
845,4079,3,1,3,yes,no,no,no,no,0,no,semi-furnished,4200000
333,3000,3,1,2,yes,no,no,no,no,0,no,semi-furnished,3920000
195,4410,4,3,2,yes,no,yes,no,no,2,no,semi-furnished,4970000
679,7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished,5803000
731,11410,2,1,2,yes,no,no,no,no,0,yes,furnished,5110000
587,6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished,7700000
588,6000,4,2,4,yes,no,no,no,no,2,no,semi-furnished,7700000
579,6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished,8120000
744,4200,3,1,2,yes,no,no,no,no,1,no,furnished,4907000
1017,3630,4,1,2,yes,no,no,no,no,3,no,semi-furnished,3010000
446,3986,2,2,1,no,yes,yes,no,no,1,no,unfurnished,3150000
910,5450,2,1,1,yes,no,no,no,no,0,no,furnished,3703000
396,3640,2,1,1,yes,no,no,no,no,1,no,semi-furnished,3500000
492,2650,3,1,2,yes,no,yes,no,no,1,no,unfurnished,2800000
671,7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished,5880000
632,3960,3,1,1,yes,no,yes,no,no,2,no,semi-furnished,6475000
463,3090,2,1,1,yes,yes,yes,no,no,0,no,unfurnished,3080000
157,2817,4,2,2,no,yes,yes,no,no,1,no,furnished,5495000
809,4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished,4410000
752,3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished,4900000
421,4750,2,1,1,yes,no,no,no,no,0,no,unfurnished,3360000
1051,2910,2,1,1,no,no,no,no,no,0,no,unfurnished,2604000
188,5720,2,1,2,yes,no,no,no,yes,0,yes,unfurnished,5075000
1063,3500,2,1,1,yes,yes,no,no,no,0,no,unfurnished,2450000
862,4992,3,2,2,yes,no,no,no,no,2,no,unfurnished,4060000
231,4320,3,1,1,yes,no,no,no,no,0,yes,semi-furnished,4690000
618,6600,2,2,4,yes,no,yes,no,no,0,yes,furnished,6685000
788,2550,3,1,2,yes,no,yes,no,no,0,no,furnished,4550000
977,6060,3,1,1,yes,yes,yes,no,no,0,no,furnished,3290000
709,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished,5390000
1057,3000,2,1,2,yes,no,no,no,no,0,no,furnished,2520000
362,4050,2,1,1,yes,no,no,no,no,0,no,furnished,3710000
425,3185,2,1,1,yes,no,yes,no,no,2,no,furnished,3360000
304,8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished,4193000
100,6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished,6230000
266,4880,3,1,1,yes,no,no,no,no,2,yes,unfurnished,4403000
607,6240,4,2,2,yes,no,no,no,yes,1,no,furnished,7070000
616,6000,4,2,4,yes,no,no,no,yes,0,no,unfurnished,6755000
298,5800,3,1,1,yes,no,no,yes,no,2,no,semi-furnished,4200000
484,3040,2,1,1,no,no,no,no,no,0,no,unfurnished,2870000
474,4352,4,1,2,no,no,no,no,no,1,no,unfurnished,2975000
418,3500,4,1,2,yes,no,no,no,yes,2,no,unfurnished,3360000
1039,6800,2,1,1,yes,no,no,no,no,0,no,unfurnished,2730000
669,6525,3,2,4,yes,no,no,no,no,1,no,furnished,5950000
